Row,Column,Conditions,Doses,Doses.Numeric.Value,Doses.Units,Timepoints,Individuals
A,1,NA,NA,NA,NA,NA,NA
B,1,NA,NA,NA,NA,NA,NA
C,1,NA,NA,NA,NA,NA,NA
D,1,NA,NA,NA,NA,NA,NA
E,1,NA,NA,NA,NA,NA,NA
F,1,NA,NA,NA,NA,NA,NA
G,1,NA,NA,NA,NA,NA,NA
H,1,NA,NA,NA,NA,NA,NA
A,2,NA,NA,NA,NA,NA,NA
B,2,NA,NA,NA,NA,NA,NA
C,2,NA,NA,NA,NA,NA,NA
D,2,NA,NA,NA,NA,NA,NA
E,2,NA,NA,NA,NA,NA,NA
F,2,NA,NA,NA,NA,NA,NA
G,2,NA,NA,NA,NA,NA,NA
H,2,NA,NA,NA,NA,NA,NA
A,3,NA,NA,NA,NA,NA,NA
B,3,NA,NA,NA,NA,NA,NA
C,3,NA,NA,NA,NA,NA,NA
D,3,NA,NA,NA,NA,NA,NA
E,3,NA,NA,NA,NA,NA,NA
F,3,NA,NA,NA,NA,NA,NA
G,3,NA,NA,NA,NA,NA,NA
H,3,NA,NA,NA,NA,NA,NA
A,4,NA,NA,NA,NA,NA,NA
B,4,NA,NA,NA,NA,NA,NA
C,4,NA,NA,NA,NA,NA,NA
D,4,NA,NA,NA,NA,NA,NA
E,4,NA,NA,NA,NA,NA,NA
F,4,NA,NA,NA,NA,NA,NA
G,4,NA,NA,NA,NA,NA,NA
H,4,NA,NA,NA,NA,NA,NA
A,5,NA,NA,NA,NA,NA,NA
B,5,NA,NA,NA,NA,NA,NA
C,5,NA,NA,NA,NA,NA,NA
D,5,NA,NA,NA,NA,NA,NA
E,5,NA,NA,NA,NA,NA,NA
F,5,NA,NA,NA,NA,NA,NA
G,5,NA,NA,NA,NA,NA,NA
H,5,NA,NA,NA,NA,NA,NA
A,6,NA,NA,NA,NA,NA,NA
B,6,NA,NA,NA,NA,NA,NA
C,6,NA,NA,NA,NA,NA,NA
D,6,NA,NA,NA,NA,NA,NA
E,6,NA,NA,NA,NA,NA,NA
F,6,NA,NA,NA,NA,NA,NA
G,6,NA,NA,NA,NA,NA,NA
H,6,NA,NA,NA,NA,NA,NA
A,7,NA,NA,NA,NA,NA,NA
B,7,NA,NA,NA,NA,NA,NA
C,7,NA,NA,NA,NA,NA,NA
D,7,NA,NA,NA,NA,NA,NA
E,7,NA,NA,NA,NA,NA,NA
F,7,NA,NA,NA,NA,NA,NA
G,7,NA,NA,NA,NA,NA,NA
H,7,NA,NA,NA,NA,NA,NA
A,8,NA,NA,NA,NA,NA,NA
B,8,NA,NA,NA,NA,NA,NA
C,8,NA,NA,NA,NA,NA,NA
D,8,NA,NA,NA,NA,NA,NA
E,8,NA,NA,NA,NA,NA,NA
F,8,NA,NA,NA,NA,NA,NA
G,8,NA,NA,NA,NA,NA,NA
H,8,NA,NA,NA,NA,NA,NA
A,9,NA,NA,NA,NA,NA,NA
B,9,NA,NA,NA,NA,NA,NA
C,9,NA,NA,NA,NA,NA,NA
D,9,NA,NA,NA,NA,NA,NA
E,9,NA,NA,NA,NA,NA,NA
F,9,NA,NA,NA,NA,NA,NA
G,9,NA,NA,NA,NA,NA,NA
H,9,NA,NA,NA,NA,NA,NA
A,10,NA,NA,NA,NA,NA,NA
B,10,NA,NA,NA,NA,NA,NA
C,10,NA,NA,NA,NA,NA,NA
D,10,NA,NA,NA,NA,NA,NA
E,10,NA,NA,NA,NA,NA,NA
F,10,NA,NA,NA,NA,NA,NA
G,10,NA,NA,NA,NA,NA,NA
H,10,NA,NA,NA,NA,NA,NA
A,11,NA,NA,NA,NA,NA,NA
B,11,NA,NA,NA,NA,NA,NA
C,11,NA,NA,NA,NA,NA,NA
D,11,NA,NA,NA,NA,NA,NA
E,11,NA,NA,NA,NA,NA,NA
F,11,NA,NA,NA,NA,NA,NA
G,11,NA,NA,NA,NA,NA,NA
H,11,NA,NA,NA,NA,NA,NA
A,12,NA,NA,NA,NA,NA,NA
B,12,NA,NA,NA,NA,NA,NA
C,12,NA,NA,NA,NA,NA,NA
D,12,NA,NA,NA,NA,NA,NA
E,12,NA,NA,NA,NA,NA,NA
F,12,NA,NA,NA,NA,NA,NA
G,12,NA,NA,NA,NA,NA,NA
H,12,NA,NA,NA,NA,NA,NA
